분류군,국명,학명,분양가능여부
균류,,Ceriporia lacerata,가능
균류,,Ceriporia lacerata,가능
균류,흰구름송편버섯,Trametes hirsuta,가능
균류,,Ceriporia lacerata,가능
균류,단풍아교고약버섯,Phlebia acerina,가능
균류,기계충버섯,Irpex lacteus,가능
균류,기계충버섯,Irpex lacteus,가능
균류,미로송편버섯,Trametes elegans,가능
균류,담자균문,Mycorrhizal basidiomycete,가능
균류,구름송편버섯,Trametes versicolor,가능
균류,,Ceriporia lacerata,가능
균류,불로초,Ganoderma lucidum,가능
균류,구름송편버섯,Trametes versicolor,가능
균류,흰갈색점버섯,Hypocrea pachybasioides,가능
균류,구름송편버섯,Trametes versicolor,가능
균류,돌기가죽질구름버섯,Coriolopsis strumosa,가능
균류,구름송편버섯,Trametes versicolor,가능
균류,,Pycnoporus sanguineus,가능
균류,아까시흰구멍버섯,Perenniporia fraxinea,가능
균류,동심바늘버섯,Steccherinum murashkinskyi,가능
균류,좀아교고약버섯속,Phlebiopsis castanea,가능
균류,유사털포자균속,Pestalotiopsis pini,가능
균류,,Penicillium virgatum Nirenberg & Kwasna 2005,가능
균류,,Penicillium daleae K.M. Zaleski 1927,가능
균류,,Penicillium daleae K.M. Zaleski 1927,가능
균류,,"Penicillium janczewskii K.M., Zalessky 1927",가능
균류,,"Penicillium samsonianum L. Wang, Frisvad & Houbraken 2016",가능
균류,,Penicillium westlingii K.M. Zalessky 1927,가능
균류,,Penicillium radiatolobatum Lörinczi 1972,가능
균류,,Penicillium glabrum (Wehmer) Westling 1911,가능
균류,,"Aspergillus urmiensis Arzanlou, Houbraken & Samadi 2016",가능
균류,,"Trichoderma guizhouense Q.R. Li, McKenzie & Yong Wang bis 2012",가능
균류,,Penicillium ochrochloron Biourge 1923,가능
균류,흙아스페곰팡이,Aspergillus terreus Thom 1918,가능
균류,,Penicillium glabrum (Wehmer) Westling 1911,가능
균류,,Penicillium ortum Visagie & K. Jacobs 2015,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,,Saccharomyces uvarum,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,,Cyberlindnera fabianii,가능
균류,클루이베르효모균속,Kluyveromyces marxianus,가능
균류,,Cyberlindnera fabianii,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,,Cyberlindnera fabianii,가능
균류,효모,Saccharomyces cerevisiae,가능
균류,거짓흑구형균속,Paraphaeosphaeria minitans,가능
균류,거짓흑구형균속,Paraphaeosphaeria minitans,가능
균류,,Tolypocladium tropicale,가능
균류,,Paracamarosporium hawaiiense,가능
균류,,Paraconiothyrium archidendri,가능
균류,,Nectria ulmicola,가능
균류,쇠요버섯속,Diatrypella cf. delonicis,가능
균류,쇠요버섯속,Diatrypella cf. delonicis,가능
균류,거짓흑구형균속,Paraphaeosphaeria minitans,가능
균류,,Erythrobasidium leptospermi,가능
균류,,Rhodotorula nothofagi C. Ramírez & A.E. González 1985,가능
균류,,"Erythrobasidium hasegawianum Hamam., Sugiy. & Komag. 1991",가능
균류,,"Erythrobasidium hasegawianum Hamam., Sugiy. & Komag. 1991",가능
균류,,Paraconiothyrium archidendri,가능
균류,포자가지균속,Cladosporium perangustum,가능
균류,,Microxiphium theae,가능
균류,포자가지균속,Cladosporium cf. delicatulum,가능
균류,포자가지균속,Cladosporium cf. delicatulum,가능
균류,,Microxiphium theae,가능
균류,,Microxiphium theae,가능
균류,,Penicillium adametzii,가능
균류,,Penicillium adametzii,가능
균류,,Acrodontium crateriforme,가능
균류,,Acrodontium crateriforme,가능
균류,,Acrodontium crateriforme,가능
균류,포자가지균속,Cladosporium cf. sinense,가능
균류,,Devriesia lagerstroemiae,가능
균류,하즈초록곰팡이,Trichoderma harzianum Rifai 1969,가능
균류,,Paraconiothyrium brasiliense Verkley 2004,가능
균류,,Pestalotiopsis microspora (Speg.) G.C. Zhao & Nan Li,가능
균류,하즈초록곰팡이,Trichoderma harzianum,가능
균류,,Trichoderma asperellum,가능
균류,,Paraconiothyrium archidendri,가능
균류,,Paraconiothyrium archidendri,가능
균류,,Neopestalotiopsis saprophytica,가능
균류,,Neopestalotiopsis rosae,가능
균류,,Aureobasidium pullulans,가능
균류,,Aureobasidium pullulans,가능
균류,,Cladosporium tenuissimum,가능
균류,,Diaporthe phaseolorum,가능
균류,,Diaporthe eres,가능
균류,,Penicillium glabrum,가능
균류,나무초록곰팡이속,Trichoderma caerulescens,가능
균류,백강균,Beauveria bassiana,가능
균류,,Paraconiothyrium estuarinum,가능
균류,,Phoma betae,가능
균류,푸른곰팡이속,Penicillium suaveolens,가능
균류,,Purpureocillium lilacinum,가능
균류,,Purpureocillium lilacinum,가능
균류,,Purpureocillium lilacinum,가능
균류,,Purpureocillium lilacinum,가능
균류,푸른곰팡이속,Penicillium suaveolens,가능
균류,,Halobasidium xiangyangense,가능
균류,,Papiliotrema aurea,가능
균류,검은점균속,Alternaria malorum,가능
균류,,Purpureocillium lilacinum,가능
균류,,Toxicocladosporium irritans,가능
균류,,Aureobasidium melanogenum,가능
균류,나무초록곰팡이속,Trichoderma sp.,가능
균류,균기생균속,Hypomyces sp.,가능
균류,나무초록곰팡이속,Trichoderma harzianum,가능
균류,흑포자균속,Nigrospora oryzae,가능
균류,낫균속,Fusarium concentricum,가능
균류,송편버섯속,Trametes sanguinea,가능
균류,나무초록곰팡이속,Trichoderma harzianum,가능
균류,포자가지균속,Cladosporium sp.,가능
균류,누룩곰팡이속,Aspergillus versicolor,가능
균류,포자가지균속,Cladosporium parahalotolerans,가능
균류,,Papiliotrema aurea,가능
균류,,Aureobasidium namibiae,가능
균류,,Aureobasidium pullulans,가능
균류,,Aureobasidium pullulans,가능
균류,,Aureobasidium pullulans,가능
균류,,Filobasidium magnum,가능
균류,,Aureobasidium namibiae,가능
균류,,Aureobasidium pullulans,가능
균류,,Filobasidium magnum,가능
균류,,Aureobasidium pullulans (de Bary & Löwenthal) G. Arnaud 1918,가능
균류,,Hannaella kunmingensis,가능
균류,,Teunia sp.,가능
균류,,Nakaseomyces glabratus,가능
균류,,Sarocladium strictum,가능
균류,,Nakaseomyces glabratus,가능
균류,,Metschnikowia bicuspidata,가능
균류,,Nakaseomyces glabratus,가능
균류,,Crinitomyces flavificans,가능
균류,,Metschnikowia bicuspidata,가능
균류,,Nakaseomyces glabratus,가능
균류,,Wickerhamomyces anomalus,가능
균류,,"Dioszegia zsoltii F.Y. Bai, M. Takash. & Nakase 2002",가능
균류,,Candida pseudolambica M.T. Sm. & Poot 1989,가능
균류,,Cylindrium desperesense,가능
균류,,Trichosporiella flavificans,가능
균류,,Bullera alba,가능
균류,,Candida intermedia,가능
