분류군,국명,학명,분양가능여부
무척추동물류(곤충제외),화산따개비,"Perforatus perforatus (Bruguière, 1789)",가능
무척추동물류(곤충제외),화산따개비,"Perforatus perforatus (Bruguière, 1789)",가능
무척추동물류(곤충제외),화산따개비,"Perforatus perforatus (Bruguière, 1789)",가능
균류,밀꽃애기버섯,"Gymnopus confluens (Pers.) Antonín, Halling & Noordel. 1997",가능
세균류,,Priestia taiwanensis Liu et al. 2015,가능
세균류,,"Pseudoalteromonas Gauthier et al., 1995",가능
세균류,,"Cytophagales Leadbetter, 1974",가능
세균류,,"Vibrio Pacini, 1854",가능
세균류,,"Microbulbifer González et al., 1997",가능
세균류,,"Pseudidiomarina Jean et al., 2006",가능
세균류,,Azospirillum,가능
세균류,,"Enterococcus (ex Thiercelin and Jouhaud) Schleifer and Kilpper-Balz, 1984",가능
세균류,,"Shewanella MacDonell and Colwell, 2005",가능
세균류,,"Vibrio Pacini, 1854",가능
세균류,,Thalassococcus,가능
세균류,,"Ferrimonas Rosselló-Mora et al., 2007",가능
세균류,,"Vibrio Pacini, 1854",가능
세균류,,"Loktanella Van Trappen et al., 2004",가능
세균류,,"Shewanella MacDonell and Colwell, 2005",가능
세균류,,"Photobacterium Beijerinck, 1889",가능
세균류,,"Vibrio Pacini, 1854",가능
세균류,,"Pseudovibrio Shieh et al., 2004",가능
세균류,,"Marinobacter Gauthier et al., 1992",가능
세균류,,Jindonia aestuariivivens Park et al. 2017,가능
세균류,,"Nonlabens Lau et al., 2005",가능
와편모조류,,Alexandrium pacificum (R.W.Litaker) R.W.Litaker 2014,가능
와편모조류,,Alexandrium pacificum (R.W.Litaker) R.W.Litaker 2014,가능
와편모조류,,Akashiwo sanguinea (Hirasaka) Hensen & Moestrup 2000,가능
세균류,,"Halomonas Vreeland et al., 1980",가능
세균류,,"Rhodobacteraceae Garrity et al., 2006",가능
세균류,,"Leeuwenhoekiella Nedashkovskaya et al., 2005",가능
세균류,,"Zhihengliuella Zhang et al., 2003",가능
세균류,,"Marinobacter Gauthier et al., 1992",가능
세균류,,"Halomonas Vreeland et al., 1980",가능
세균류,,Microbacterium paraoxydans Laffineur et al. 2003,가능
세균류,,Pseudomonas segetis Park et al. 2006,가능
세균류,,"Thalassobius Arahal et al., 2005",가능
세균류,,Demequina Yi et al.,가능
세균류,,Vibrio plantisponsor,가능
세균류,,"Pseudooceanicola Lai et al., 2015",가능
세균류,,Paenisporosarcina macmurdoensis (Reddy et al.) Krishnamurthi et al. 2009,가능
세균류,,Aurantimonas Denner et al.,가능
세균류,,Qipengyuania,가능
세균류,,Psychrobacillus psychrodurans (Abd El-Rahman et al.) Krishnamurthi et al. 2011,가능
세균류,,Shewanella loihica Gao et al. 2006,가능
세균류,,"Pseudoalteromonas Gauthier et al., 1995",가능
세균류,,"Kushneria Sánchez-Porro et al., 2009",가능
세균류,,"Microbacteriaceae Park et al., 1995",가능
세균류,,"Salinicola Anan'ina et al., 2008",가능
세균류,,"Pseudidiomarina Jean et al., 2006",가능
세균류,,"Alphaproteobacteria Garrity et al., 2006",가능
세균류,,Psychromonas,가능
세균류,,"Umboniibacter Romanenko et al., 2010",가능
세균류,,"Puniceicoccaceae Choo et al., 2007",가능
세균류,,"Amylibacter Teramoto and Nishijima, 2014",가능
세균류,,Psychromonas,가능
세균류,,Psychromonas,가능
세균류,,Oceanospirillum,가능
세균류,,"Thalassotalea Zhang et al., 2014",가능
세균류,,"Vibrio Pacini, 1854",가능
세균류,,"Alteromonas Baumann et al., 1972",가능
세균류,,"Cellvibrionaceae Spring et al., 2015",가능
