분류군,국명,학명,분양가능여부
관속식물류,생달나무,Cinnamomum japonicum Siebold,가능
관속식물류,생달나무,Cinnamomum japonicum Siebold,가능
관속식물류,생달나무,Cinnamomum japonicum Siebold,가능
관속식물류,생달나무,Cinnamomum japonicum Siebold,가능
관속식물류,멀구슬나무,Melia azedarach L.,가능
관속식물류,멀구슬나무,Melia azedarach L.,가능
관속식물류,멀구슬나무,Melia azedarach L.,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,소리쟁이,Rumex crispus L.,가능
관속식물류,소리쟁이,Rumex crispus L.,가능
관속식물류,소리쟁이,Rumex crispus L.,가능
관속식물류,다정큼나무,Rhaphiolepis indica var. umbellata (Thunb.) Ohashi,가능
관속식물류,다정큼나무,Rhaphiolepis indica var. umbellata (Thunb.) Ohashi,가능
관속식물류,다정큼나무,Rhaphiolepis indica var. umbellata (Thunb.) Ohashi,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,바위손,Selaginella tamariscina (P. Beauv.) Spring,가능
관속식물류,바위손,Selaginella tamariscina (P. Beauv.) Spring,가능
관속식물류,바위손,Selaginella tamariscina (P. Beauv.) Spring,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,노간주나무,Juniperus rigida Siebold & Zucc.,가능
관속식물류,노간주나무,Juniperus rigida Siebold & Zucc.,가능
관속식물류,노간주나무,Juniperus rigida Siebold & Zucc.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,떡갈나무,Quercus dentata Thunb.,가능
관속식물류,떡갈나무,Quercus dentata Thunb.,가능
관속식물류,떡갈나무,Quercus dentata Thunb.,가능
관속식물류,멀구슬나무,Melia azedarach L.,가능
관속식물류,멀구슬나무,Melia azedarach L.,가능
관속식물류,멀구슬나무,Melia azedarach L.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,황칠나무,Dendropanax trifidus (Thunb.) Makino ex H. Hara,가능
관속식물류,달맞이꽃,Oenothera biennis L.,가능
관속식물류,달맞이꽃,Oenothera biennis L.,가능
관속식물류,달맞이꽃,Oenothera biennis L.,가능
관속식물류,순비기나무,Vitex rotundifolia L. f.,가능
관속식물류,순비기나무,Vitex rotundifolia L. f.,가능
관속식물류,순비기나무,Vitex rotundifolia L. f.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,예덕나무,Mallotus japonicus (L. f.) Müll.,가능
관속식물류,생이가래,Salvinia natans (L.) All.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,미국자리공,Phytolacca americana L.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,사스레피나무,Eurya japonica Thunb.,가능
관속식물류,청미래덩굴,Smilax china L.,가능
관속식물류,청미래덩굴,Smilax china L.,가능
관속식물류,청미래덩굴,Smilax china L.,가능
관속식물류,참싸리,Lespedeza cyrtobotrya Miq.,가능
관속식물류,참싸리,Lespedeza cyrtobotrya Miq.,가능
관속식물류,참싸리,Lespedeza cyrtobotrya Miq.,가능
관속식물류,개머루,Ampelopsis brevipedunculata (Maxim.) Trautv.,가능
관속식물류,개머루,Ampelopsis brevipedunculata (Maxim.) Trautv.,가능
관속식물류,개머루,Ampelopsis brevipedunculata (Maxim.) Trautv.,가능
관속식물류,개머루,Ampelopsis brevipedunculata (Maxim.) Trautv.,가능
관속식물류,개머루,Ampelopsis brevipedunculata (Maxim.) Trautv.,가능
관속식물류,개머루,Ampelopsis brevipedunculata (Maxim.) Trautv.,가능
관속식물류,청미래덩굴,Smilax china L.,가능
관속식물류,청미래덩굴,Smilax china L.,가능
관속식물류,청미래덩굴,Smilax china L.,가능
관속식물류,노간주나무,Juniperus rigida Siebold & Zucc.,가능
관속식물류,노간주나무,Juniperus rigida Siebold & Zucc.,가능
관속식물류,노간주나무,Juniperus rigida Siebold & Zucc.,가능
관속식물류,순비기나무,Vitex rotundifolia L. f.,가능
