구분,계,국•공립 어린이집,사회복지법인 어린이집,법인•단체 등 어린이집,민간 어린이집,가정 어린이집,협동 어린이집,직장 어린이집
서울시 대도시,4212,1855,17,68,809,1138,22,303
서울시 중소도시,0,0,0,0,0,0,0,0
서울시 농어촌,0,0,0,0,0,0,0,0
부산시 대도시,1225,298,63,22,417,366,7,52
부산시 중소도시,0,0,0,0,0,0,0,0
부산시 농어촌,129,35,6,0,42,38,1,7
대구시 대도시,858,256,91,12,267,189,3,40
대구시 중소도시,0,0,0,0,0,0,0,0
대구시 농어촌,177,65,13,0,54,40,0,5
인천시 대도시,1590,354,11,9,487,649,2,78
인천시 중소도시,0,0,0,0,0,0,0,0
인천시 농어촌,23,15,0,1,4,0,0,3
광주시 대도시,823,167,75,17,254,281,1,28
광주시 중소도시,0,0,0,0,0,0,0,0
광주시 농어촌,5,0,4,0,1,0,0,0
대전시 대도시,864,150,36,7,181,422,6,62
대전시 중소도시,0,0,0,0,0,0,0,0
대전시 농어촌,0,0,0,0,0,0,0,0
울산시 대도시,471,86,6,2,196,148,3,30
울산시 중소도시,0,0,0,0,0,0,0,0
울산시 농어촌,98,19,7,3,45,16,0,8
세종시 대도시,0,0,0,0,0,0,0,0
세종시 중소도시,261,134,0,0,41,70,0,16
세종시 농어촌,44,12,9,3,12,5,0,3
경기도 대도시,0,0,0,0,0,0,0,0
경기도 중소도시,6914,1308,18,42,1970,3295,49,232
경기도 농어촌,1493,250,35,33,676,415,12,72
강원도 대도시,0,0,0,0,0,0,0,0
강원도 중소도시,456,84,21,8,141,188,0,24
강원도 농어촌,350,79,71,20,99,48,2,31
충청북도 대도시,0,0,0,0,0,0,0,0
충청북도 중소도시,474,80,22,6,181,167,1,17
충청북도 농어촌,403,71,81,18,121,86,1,25
충청남도 대도시,0,0,0,0,0,0,0,0
충청남도 중소도시,661,105,12,12,190,326,1,15
충청남도 농어촌,677,134,92,25,203,183,0,40
전라북도 대도시,0,0,0,0,0,0,0,0
전라북도 중소도시,662,100,52,21,225,239,0,25
전라북도 농어촌,240,52,65,43,54,18,0,8
전라남도 대도시,0,0,0,0,0,0,0,0
전라남도 중소도시,467,82,45,5,161,145,1,28
전라남도 농어촌,444,130,103,35,98,66,1,11
경상북도 대도시,0,0,0,0,0,0,0,0
경상북도 중소도시,691,79,28,10,299,238,1,36
경상북도 농어촌,543,138,41,21,190,132,0,21
경상남도 대도시,0,0,0,0,0,0,0,0
경상남도 중소도시,1082,185,31,9,391,419,0,47
경상남도 농어촌,641,153,47,18,218,189,2,14
제주도 대도시,0,0,0,0,0,0,0,0
제주도 중소도시,67,5,2,5,29,23,0,3
제주도 농어촌,332,40,67,32,125,47,0,21
