시도,자격급수,유형,개수
서울특별시,1급,국·공립 어린이집,13713
부산광역시,1급,국·공립 어린이집,2568
대구광역시,1급,국·공립 어린이집,2398
인천광역시,1급,국·공립 어린이집,2821
광주광역시,1급,국·공립 어린이집,1235
대전광역시,1급,국·공립 어린이집,1274
울산광역시,1급,국·공립 어린이집,807
세종특별자치시,1급,국·공립 어린이집,1012
경기도,1급,국·공립 어린이집,13043
강원특별자치도,1급,국·공립 어린이집,1152
충청북도,1급,국·공립 어린이집,1137
충청남도,1급,국·공립 어린이집,1639
전북특별자치도,1급,국·공립 어린이집,1165
전라남도,1급,국·공립 어린이집,1379
경상북도,1급,국·공립 어린이집,1470
경상남도,1급,국·공립 어린이집,2464
제주특별자치도,1급,국·공립 어린이집,377
서울특별시,2급,국·공립 어린이집,5025
부산광역시,2급,국·공립 어린이집,956
대구광역시,2급,국·공립 어린이집,798
인천광역시,2급,국·공립 어린이집,1073
광주광역시,2급,국·공립 어린이집,493
대전광역시,2급,국·공립 어린이집,481
울산광역시,2급,국·공립 어린이집,301
세종특별자치시,2급,국·공립 어린이집,438
경기도,2급,국·공립 어린이집,5094
강원특별자치도,2급,국·공립 어린이집,427
충청북도,2급,국·공립 어린이집,403
충청남도,2급,국·공립 어린이집,540
전북특별자치도,2급,국·공립 어린이집,376
전라남도,2급,국·공립 어린이집,486
경상북도,2급,국·공립 어린이집,441
경상남도,2급,국·공립 어린이집,797
제주특별자치도,2급,국·공립 어린이집,102
서울특별시,3급,국·공립 어린이집,95
부산광역시,3급,국·공립 어린이집,7
대구광역시,3급,국·공립 어린이집,23
인천광역시,3급,국·공립 어린이집,25
광주광역시,3급,국·공립 어린이집,4
대전광역시,3급,국·공립 어린이집,4
울산광역시,3급,국·공립 어린이집,9
세종특별자치시,3급,국·공립 어린이집,1
경기도,3급,국·공립 어린이집,80
강원특별자치도,3급,국·공립 어린이집,5
충청북도,3급,국·공립 어린이집,2
충청남도,3급,국·공립 어린이집,4
전북특별자치도,3급,국·공립 어린이집,8
전라남도,3급,국·공립 어린이집,6
경상북도,3급,국·공립 어린이집,3
경상남도,3급,국·공립 어린이집,24
제주특별자치도,3급,국·공립 어린이집,8
서울특별시,1급,사회복지법인 어린이집,127
부산광역시,1급,사회복지법인 어린이집,451
대구광역시,1급,사회복지법인 어린이집,850
인천광역시,1급,사회복지법인 어린이집,88
광주광역시,1급,사회복지법인 어린이집,556
대전광역시,1급,사회복지법인 어린이집,305
울산광역시,1급,사회복지법인 어린이집,119
세종특별자치시,1급,사회복지법인 어린이집,39
경기도,1급,사회복지법인 어린이집,331
강원특별자치도,1급,사회복지법인 어린이집,453
충청북도,1급,사회복지법인 어린이집,605
충청남도,1급,사회복지법인 어린이집,640
전북특별자치도,1급,사회복지법인 어린이집,673
전라남도,1급,사회복지법인 어린이집,891
경상북도,1급,사회복지법인 어린이집,430
경상남도,1급,사회복지법인 어린이집,438
제주특별자치도,1급,사회복지법인 어린이집,624
서울특별시,2급,사회복지법인 어린이집,40
부산광역시,2급,사회복지법인 어린이집,199
대구광역시,2급,사회복지법인 어린이집,340
인천광역시,2급,사회복지법인 어린이집,48
광주광역시,2급,사회복지법인 어린이집,245
대전광역시,2급,사회복지법인 어린이집,153
울산광역시,2급,사회복지법인 어린이집,39
세종특별자치시,2급,사회복지법인 어린이집,9
경기도,2급,사회복지법인 어린이집,132
강원특별자치도,2급,사회복지법인 어린이집,190
충청북도,2급,사회복지법인 어린이집,196
충청남도,2급,사회복지법인 어린이집,165
전북특별자치도,2급,사회복지법인 어린이집,233
전라남도,2급,사회복지법인 어린이집,260
경상북도,2급,사회복지법인 어린이집,181
경상남도,2급,사회복지법인 어린이집,151
제주특별자치도,2급,사회복지법인 어린이집,171
서울특별시,3급,사회복지법인 어린이집,1
부산광역시,3급,사회복지법인 어린이집,1
대구광역시,3급,사회복지법인 어린이집,8
인천광역시,3급,사회복지법인 어린이집,6
광주광역시,3급,사회복지법인 어린이집,2
대전광역시,3급,사회복지법인 어린이집,10
울산광역시,3급,사회복지법인 어린이집,1
세종특별자치시,3급,사회복지법인 어린이집,0
경기도,3급,사회복지법인 어린이집,3
강원특별자치도,3급,사회복지법인 어린이집,3
충청북도,3급,사회복지법인 어린이집,2
충청남도,3급,사회복지법인 어린이집,3
전북특별자치도,3급,사회복지법인 어린이집,2
전라남도,3급,사회복지법인 어린이집,6
경상북도,3급,사회복지법인 어린이집,5
경상남도,3급,사회복지법인 어린이집,6
제주특별자치도,3급,사회복지법인 어린이집,9
서울특별시,1급,법인·단체 등 어린이집,418
부산광역시,1급,법인·단체 등 어린이집,143
대구광역시,1급,법인·단체 등 어린이집,101
인천광역시,1급,법인·단체 등 어린이집,104
광주광역시,1급,법인·단체 등 어린이집,130
대전광역시,1급,법인·단체 등 어린이집,50
울산광역시,1급,법인·단체 등 어린이집,50
세종특별자치시,1급,법인·단체 등 어린이집,14
경기도,1급,법인·단체 등 어린이집,490
강원특별자치도,1급,법인·단체 등 어린이집,116
충청북도,1급,법인·단체 등 어린이집,134
충청남도,1급,법인·단체 등 어린이집,223
전북특별자치도,1급,법인·단체 등 어린이집,334
전라남도,1급,법인·단체 등 어린이집,197
경상북도,1급,법인·단체 등 어린이집,167
경상남도,1급,법인·단체 등 어린이집,166
제주특별자치도,1급,법인·단체 등 어린이집,259
서울특별시,2급,법인·단체 등 어린이집,141
부산광역시,2급,법인·단체 등 어린이집,52
대구광역시,2급,법인·단체 등 어린이집,25
인천광역시,2급,법인·단체 등 어린이집,32
광주광역시,2급,법인·단체 등 어린이집,41
대전광역시,2급,법인·단체 등 어린이집,24
울산광역시,2급,법인·단체 등 어린이집,14
세종특별자치시,2급,법인·단체 등 어린이집,7
경기도,2급,법인·단체 등 어린이집,203
강원특별자치도,2급,법인·단체 등 어린이집,53
충청북도,2급,법인·단체 등 어린이집,59
충청남도,2급,법인·단체 등 어린이집,47
전북특별자치도,2급,법인·단체 등 어린이집,108
전라남도,2급,법인·단체 등 어린이집,65
경상북도,2급,법인·단체 등 어린이집,69
경상남도,2급,법인·단체 등 어린이집,53
제주특별자치도,2급,법인·단체 등 어린이집,76
서울특별시,3급,법인·단체 등 어린이집,4
부산광역시,3급,법인·단체 등 어린이집,0
대구광역시,3급,법인·단체 등 어린이집,1
인천광역시,3급,법인·단체 등 어린이집,1
광주광역시,3급,법인·단체 등 어린이집,0
대전광역시,3급,법인·단체 등 어린이집,1
울산광역시,3급,법인·단체 등 어린이집,0
세종특별자치시,3급,법인·단체 등 어린이집,0
경기도,3급,법인·단체 등 어린이집,3
강원특별자치도,3급,법인·단체 등 어린이집,1
충청북도,3급,법인·단체 등 어린이집,0
충청남도,3급,법인·단체 등 어린이집,1
전북특별자치도,3급,법인·단체 등 어린이집,2
전라남도,3급,법인·단체 등 어린이집,0
경상북도,3급,법인·단체 등 어린이집,1
경상남도,3급,법인·단체 등 어린이집,2
제주특별자치도,3급,법인·단체 등 어린이집,7
서울특별시,1급,민간 어린이집,5772
부산광역시,1급,민간 어린이집,3284
대구광역시,1급,민간 어린이집,2402
인천광역시,1급,민간 어린이집,3814
광주광역시,1급,민간 어린이집,1978
대전광역시,1급,민간 어린이집,1279
울산광역시,1급,민간 어린이집,1627
세종특별자치시,1급,민간 어린이집,473
경기도,1급,민간 어린이집,19038
강원특별자치도,1급,민간 어린이집,1538
충청북도,1급,민간 어린이집,2095
충청남도,1급,민간 어린이집,2611
전북특별자치도,1급,민간 어린이집,2017
전라남도,1급,민간 어린이집,1821
경상북도,1급,민간 어린이집,3408
경상남도,1급,민간 어린이집,3985
제주특별자치도,1급,민간 어린이집,1183
서울특별시,2급,민간 어린이집,1829
부산광역시,2급,민간 어린이집,1044
대구광역시,2급,민간 어린이집,684
인천광역시,2급,민간 어린이집,1347
광주광역시,2급,민간 어린이집,618
대전광역시,2급,민간 어린이집,427
울산광역시,2급,민간 어린이집,643
세종특별자치시,2급,민간 어린이집,199
경기도,2급,민간 어린이집,6605
강원특별자치도,2급,민간 어린이집,575
충청북도,2급,민간 어린이집,670
충청남도,2급,민간 어린이집,906
전북특별자치도,2급,민간 어린이집,609
전라남도,2급,민간 어린이집,657
경상북도,2급,민간 어린이집,1232
경상남도,2급,민간 어린이집,1350
제주특별자치도,2급,민간 어린이집,304
서울특별시,3급,민간 어린이집,59
부산광역시,3급,민간 어린이집,24
대구광역시,3급,민간 어린이집,30
인천광역시,3급,민간 어린이집,74
광주광역시,3급,민간 어린이집,7
대전광역시,3급,민간 어린이집,15
울산광역시,3급,민간 어린이집,44
세종특별자치시,3급,민간 어린이집,0
경기도,3급,민간 어린이집,229
강원특별자치도,3급,민간 어린이집,2
충청북도,3급,민간 어린이집,4
충청남도,3급,민간 어린이집,10
전북특별자치도,3급,민간 어린이집,10
전라남도,3급,민간 어린이집,15
경상북도,3급,민간 어린이집,45
경상남도,3급,민간 어린이집,58
제주특별자치도,3급,민간 어린이집,26
서울특별시,1급,가정 어린이집,3873
부산광역시,1급,가정 어린이집,1380
대구광역시,1급,가정 어린이집,657
인천광역시,1급,가정 어린이집,2327
광주광역시,1급,가정 어린이집,847
대전광역시,1급,가정 어린이집,1555
울산광역시,1급,가정 어린이집,520
세종특별자치시,1급,가정 어린이집,217
경기도,1급,가정 어린이집,13419
강원특별자치도,1급,가정 어린이집,787
충청북도,1급,가정 어린이집,797
충청남도,1급,가정 어린이집,1511
전북특별자치도,1급,가정 어린이집,835
전라남도,1급,가정 어린이집,696
경상북도,1급,가정 어린이집,1098
경상남도,1급,가정 어린이집,1837
제주특별자치도,1급,가정 어린이집,294
서울특별시,2급,가정 어린이집,1322
부산광역시,2급,가정 어린이집,457
대구광역시,2급,가정 어린이집,242
인천광역시,2급,가정 어린이집,737
광주광역시,2급,가정 어린이집,253
대전광역시,2급,가정 어린이집,501
울산광역시,2급,가정 어린이집,194
세종특별자치시,2급,가정 어린이집,119
경기도,2급,가정 어린이집,4876
강원특별자치도,2급,가정 어린이집,305
충청북도,2급,가정 어린이집,315
충청남도,2급,가정 어린이집,578
전북특별자치도,2급,가정 어린이집,241
전라남도,2급,가정 어린이집,236
경상북도,2급,가정 어린이집,468
경상남도,2급,가정 어린이집,692
제주특별자치도,2급,가정 어린이집,58
서울특별시,3급,가정 어린이집,60
부산광역시,3급,가정 어린이집,10
대구광역시,3급,가정 어린이집,19
인천광역시,3급,가정 어린이집,58
광주광역시,3급,가정 어린이집,4
대전광역시,3급,가정 어린이집,16
울산광역시,3급,가정 어린이집,15
세종특별자치시,3급,가정 어린이집,3
경기도,3급,가정 어린이집,203
강원특별자치도,3급,가정 어린이집,5
충청북도,3급,가정 어린이집,7
충청남도,3급,가정 어린이집,10
전북특별자치도,3급,가정 어린이집,8
전라남도,3급,가정 어린이집,6
경상북도,3급,가정 어린이집,16
경상남도,3급,가정 어린이집,40
제주특별자치도,3급,가정 어린이집,7
서울특별시,1급,협동 어린이집,92
부산광역시,1급,협동 어린이집,28
대구광역시,1급,협동 어린이집,5
인천광역시,1급,협동 어린이집,7
광주광역시,1급,협동 어린이집,6
대전광역시,1급,협동 어린이집,21
울산광역시,1급,협동 어린이집,16
세종특별자치시,1급,협동 어린이집,0
경기도,1급,협동 어린이집,216
강원특별자치도,1급,협동 어린이집,6
충청북도,1급,협동 어린이집,3
충청남도,1급,협동 어린이집,4
전북특별자치도,1급,협동 어린이집,0
전라남도,1급,협동 어린이집,7
